timestamp,date,time,symbol,signal,lot_size,score,account_balance,account_equity,margin_info
2026-04-22 05:22:03,2026-04-22,05:22:03,USDIDR,SELL,0.1,2,97976.08,98300.61,"{'margin': 1806.79, 'free_margin': 96493.82, 'margin_level': 5440.621765672823}"
2026-04-22 05:38:09,2026-04-22,05:38:08,EURUSD,BUY,0.1,3,97975.79,98296.08,"{'margin': 1793.77, 'free_margin': 96502.31, 'margin_level': 5479.8597367555485}"
2026-04-22 05:53:10,2026-04-22,05:53:09,EURJPY,BUY,0.1,4,97975.79,98290.41,"{'margin': 1911.3, 'free_margin': 96379.11, 'margin_level': 5142.594569141422}"
2026-04-22 06:08:20,2026-04-22,06:08:20,NOKJPY,BUY,0.1,4,97975.79,98263.75,"{'margin': 1911.36, 'free_margin': 96352.39, 'margin_level': 5141.038318265529}"
2026-04-22 06:23:33,2026-04-22,06:23:33,AUDUSD,BUY,0.1,3,97975.79,98263.8,"{'margin': 1983.04, 'free_margin': 96280.76, 'margin_level': 4955.210182346297}"
2026-04-22 06:38:59,2026-04-22,06:38:59,NOKJPY,BUY,0.1,4,97975.79,98309.2,"{'margin': 1983.09, 'free_margin': 96326.11, 'margin_level': 4957.374602262126}"
2026-04-22 06:54:05,2026-04-22,06:54:05,EURGBP,BUY,0.1,3,97975.79,98282.05,"{'margin': 2100.6, 'free_margin': 96181.45, 'margin_level': 4678.76083023898}"
2026-04-22 07:09:13,2026-04-22,07:09:12,NOKJPY,BUY,0.1,4,97975.79,98281.0,"{'margin': 2100.65, 'free_margin': 96180.35, 'margin_level': 4678.5994811129885}"
2026-04-22 07:21:46,2026-04-22,07:21:45,EURUSD,BUY,0.1,3,97975.79,98285.71,"{'margin': 2218.1, 'free_margin': 96067.61, 'margin_level': 4431.076597087597}"
2026-04-22 07:33:13,2026-04-22,07:33:13,EURAUD,BUY,0.1,3,97975.79,98267.56,"{'margin': 2335.59, 'free_margin': 95931.97, 'margin_level': 4207.3977025077165}"
2026-04-22 07:47:22,2026-04-22,07:47:21,TRYJPY,BUY,0.1,4,97975.79,98309.18,"{'margin': 2335.58, 'free_margin': 95973.6, 'margin_level': 4209.197715342655}"
2026-04-22 08:45:18,2026-04-22,08:45:18,GBPCHF,BUY,0.1,4,97975.79,98348.1,"{'margin': 2470.86, 'free_margin': 95877.24, 'margin_level': 3980.318593526141}"
2026-04-22 09:14:56,2026-04-22,09:14:56,EURJPY,BUY,0.1,3,97975.79,98378.04,"{'margin': 2588.42, 'free_margin': 95789.62, 'margin_level': 3800.698495607359}"
2026-04-22 09:30:43,2026-04-22,09:30:43,TRYJPY,BUY,0.1,4,97975.79,98362.9,"{'margin': 2588.43, 'free_margin': 95774.47, 'margin_level': 3800.098901650808}"
2026-04-22 09:46:02,2026-04-22,09:46:02,GBPCHF,BUY,0.1,4,97975.79,98396.13,"{'margin': 2723.69, 'free_margin': 95672.44, 'margin_level': 3612.603857267163}"
2026-04-22 15:17:48,2026-04-22,15:17:48,USDIDR,BUY,0.1,4,97831.48,98219.61,"{'margin': 2266.21, 'free_margin': 95953.4, 'margin_level': 4334.091280154972}"
2026-04-22 15:33:41,2026-04-22,15:33:40,TRYJPY,BUY,0.1,4,97832.06,98240.41,"{'margin': 2253.45, 'free_margin': 95986.96, 'margin_level': 4359.555792229693}"
2026-04-22 16:19:12,2026-04-22,16:19:12,USDJPY,BUY,0.1,4,97796.24,98204.11,"{'margin': 2235.96, 'free_margin': 95968.15, 'margin_level': 4392.033399524142}"
2026-04-22 16:34:18,2026-04-22,16:34:18,TRYJPY,BUY,0.1,4,97796.24,98228.4,"{'margin': 2235.97, 'free_margin': 95992.43, 'margin_level': 4393.100086316006}"
2026-04-22 16:49:07,2026-04-22,16:49:07,EURJPY,BUY,0.1,3,97796.24,98233.76,"{'margin': 2353.13, 'free_margin': 95880.57, 'margin_level': 4174.597238571604}"
2026-04-22 17:35:13,2026-04-22,17:35:13,ZARJPY,BUY,0.1,4,97796.24,98260.72,"{'margin': 2453.13, 'free_margin': 95807.59, 'margin_level': 4005.524370905741}"
2026-04-22 17:51:04,2026-04-22,17:51:04,GBPCHF,BUY,0.1,4,97796.24,98256.67,"{'margin': 2588.25, 'free_margin': 95668.42, 'margin_level': 3796.2588621655555}"
2026-04-22 18:05:08,2026-04-22,18:05:08,EURUSD,BUY,0.1,4,97764.87,98268.92,"{'margin': 2587.81, 'free_margin': 95681.11, 'margin_level': 3797.377705472967}"
