timestamp,date,time,symbol,signal,lot_size,score,account_balance,account_equity,margin_info
2026-04-16 14:45:42,2026-04-16,10:30:00,EURUSD,BUY,0.1,3,10000.0,9950.0,test
2026-04-16 15:15:46,2026-04-16,15:15:46,USDGEL,BUY,0.1,5,99873.32,99747.54,"{'margin': 3835.67, 'free_margin': 95911.87, 'margin_level': 2600.5245498178933}"
2026-04-16 15:23:51,2026-04-16,15:23:51,USDGEL,BUY,0.1,5,99873.32,99693.55,"{'margin': 3835.67, 'free_margin': 95857.88, 'margin_level': 2599.1169730451265}"
2026-04-16 16:24:50,2026-04-16,16:24:50,USDGEL,BUY,0.1,5,99873.32,99786.43,"{'margin': 3835.67, 'free_margin': 95950.76, 'margin_level': 2601.5384535165954}"
2026-04-16 16:35:38,2026-04-16,16:35:38,USDGEL,BUY,0.1,5,99873.32,99679.45,"{'margin': 3835.67, 'free_margin': 95843.78, 'margin_level': 2598.7493710355684}"
2026-04-16 19:48:26,2026-04-16,19:48:26,USDGEL,BUY,0.1,5,99873.32,99735.95,"{'margin': 3835.67, 'free_margin': 95900.28, 'margin_level': 2600.22238618025}"
