timestamp,date,time,symbol,signal,lot_size,score,account_balance,account_equity,margin_info
2026-04-17 04:00:00,2026-04-17,04:00:00,EURPLN,BUY,0.1,5,99619.7,99571.44,"{'margin': 3153.51, 'free_margin': 96417.93, 'margin_level': 3157.479760647659}"
2026-04-17 04:00:38,2026-04-17,04:00:38,USDGEL,BUY,0.1,5,99619.7,99573.13,"{'margin': 3153.51, 'free_margin': 96419.62, 'margin_level': 3157.533351725537}"
2026-04-17 04:19:55,2026-04-17,04:19:55,USDGEL,BUY,0.1,5,99619.7,99582.57,"{'margin': 3153.51, 'free_margin': 96429.06, 'margin_level': 3157.832700704929}"
2026-04-17 04:33:55,2026-04-17,04:33:55,SGDJPY,SELL,0.1,5,99619.7,99573.24,"{'margin': 3232.07, 'free_margin': 96341.17, 'margin_level': 3080.788473021933}"
2026-04-17 04:37:45,2026-04-17,04:37:45,USDGEL,BUY,0.1,5,99619.7,99562.22,"{'margin': 3232.07, 'free_margin': 96330.15, 'margin_level': 3080.447515060008}"
2026-04-17 04:46:48,2026-04-17,04:46:48,USDCNH,SELL,0.1,5,99619.7,99553.94,"{'margin': 3332.07, 'free_margin': 96221.87, 'margin_level': 2987.750557461278}"
2026-04-17 04:51:11,2026-04-17,04:51:11,USDGEL,BUY,0.1,5,99619.7,99577.29,"{'margin': 3332.07, 'free_margin': 96245.22, 'margin_level': 2988.4513230514362}"
2026-04-17 05:07:33,2026-04-17,05:07:33,USDCNH,SELL,0.1,5,99556.57,99565.18,"{'margin': 3232.07, 'free_margin': 96333.11, 'margin_level': 3080.5390972348982}"
2026-04-17 07:27:47,2026-04-17,07:27:47,USDGEL,BUY,0.1,5,99524.83,99547.38,"{'margin': 3132.07, 'free_margin': 96415.31, 'margin_level': 3178.3255163518056}"
2026-04-17 08:34:44,2026-04-17,08:34:44,EURRUR,BUY,0.1,5,99474.3,99589.03,"{'margin': 3014.23, 'free_margin': 96574.8, 'margin_level': 3303.9625376961944}"
2026-04-17 09:06:47,2026-04-17,09:06:47,USDGEL,BUY,0.1,5,99474.3,99641.9,"{'margin': 3014.23, 'free_margin': 96627.67, 'margin_level': 3305.716551159002}"
