timestamp,date,time,symbol,signal,lot_size,score,account_balance,account_equity,margin_info
2026-04-21 09:52:40,2026-04-21,09:52:40,EURJPY,BUY,0.1,4,98237.84,98423.43,"{'margin': 1209.09, 'free_margin': 97214.34, 'margin_level': 8140.289804729177}"
2026-04-21 10:37:56,2026-04-21,10:37:56,AUDUSD,BUY,0.1,4,98237.84,98433.61,"{'margin': 1280.66, 'free_margin': 97152.95, 'margin_level': 7686.162603657489}"
2026-04-21 10:53:18,2026-04-21,10:53:18,EURJPY,BUY,0.1,4,98237.84,98438.06,"{'margin': 1398.26, 'free_margin': 97039.8, 'margin_level': 7040.039763706321}"
2026-04-21 11:07:25,2026-04-21,11:07:25,AUDUSD,BUY,0.1,3,98237.84,98442.2,"{'margin': 1469.85, 'free_margin': 96972.35, 'margin_level': 6697.431710718782}"
2026-04-21 11:19:49,2026-04-21,11:19:49,NOKJPY,BUY,0.1,4,98237.84,98447.54,"{'margin': 1469.9, 'free_margin': 96977.64, 'margin_level': 6697.567181440914}"
2026-04-21 13:21:27,2026-04-21,13:21:27,GBPCHF,BUY,0.1,3,98237.84,98468.24,"{'margin': 1605.12, 'free_margin': 96863.12, 'margin_level': 6134.634170653909}"
2026-04-21 13:35:39,2026-04-21,13:35:39,EURUSD,BUY,0.1,3,98237.84,98469.96,"{'margin': 1722.84, 'free_margin': 96747.12, 'margin_level': 5715.560353834367}"
2026-04-21 13:48:43,2026-04-21,13:48:43,AUDUSD,BUY,0.1,3,98237.84,98477.84,"{'margin': 1794.57, 'free_margin': 96683.27, 'margin_level': 5487.5452058153205}"
2026-04-21 14:01:44,2026-04-21,14:01:44,EURJPY,SELL,0.1,2,98237.84,98497.7,"{'margin': 1794.59, 'free_margin': 96703.11, 'margin_level': 5488.5907087412725}"
2026-04-21 14:14:41,2026-04-21,14:14:40,EURUSD,BUY,0.1,3,98237.84,98517.3,"{'margin': 1912.29, 'free_margin': 96605.01, 'margin_level': 5151.797060069341}"
2026-04-21 14:27:36,2026-04-21,14:27:36,EURJPY,BUY,0.1,4,98237.84,98515.09,"{'margin': 2029.93, 'free_margin': 96485.16, 'margin_level': 4853.127447744503}"
2026-04-21 15:38:43,2026-04-21,15:38:42,USDIDR,BUY,0.1,3,98237.84,98375.69,"{'margin': 2042.7, 'free_margin': 96332.99, 'margin_level': 4815.963675527488}"
2026-04-21 15:52:41,2026-04-21,15:52:41,EURJPY,BUY,0.1,4,98237.55,98407.46,"{'margin': 2147.43, 'free_margin': 96260.03, 'margin_level': 4582.568931234081}"
